Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,Huongthom,Basic+Enhanced Color+Edge,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9722627737226277,0.9723593427033264,0.9722627737226277,0.9722592258629261,0.983093525179856
Random Forest,Huongthom,Basic+Enhanced Color+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9627737226277372,0.9627956088762908,0.9627737226277372,0.9627718380432174,0.95863309352518
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8978102189781022,0.9000399455056041,0.8978102189781022,0.897622925473401,0.9046762589928058
Support Vector Machine,Huongthom,Basic+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.948905109489051,0.948972436055629,0.948905109489051,0.9489064162191843,0.956115107913669
Random Forest,Huongthom,Basic+Zernike moments+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9211678832116789,0.9216284064557295,0.9211678832116789,0.9211604907423556,0.9215827338129496
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9182481751824818,0.9212025743662192,0.9182481751824818,0.9180657780557605,0.9241007194244606
Support Vector Machine,Huongthom,Basic+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.962043795620438,0.9621113461940765,0.962043795620438,0.9620447663342511,0.9694244604316546
Random Forest,Huongthom,Basic+Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9262773722627737,0.9269699329859048,0.9262773722627737,0.9262635841160782,0.9392086330935252
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.916058394160584,0.9185014882672808,0.916058394160584,0.9158992001362293,0.9115107913669064
Support Vector Machine,Huongthom,Basic+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9547445255474453,0.9548921910877968,0.9547445255474453,0.9547451042323521,0.9654676258992806
Random Forest,Huongthom,Basic+Zernike moments+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9248175182481752,0.9249851175875103,0.9248175182481752,0.9248180389859788,0.9262589928057553
K-Nearest Neighbors,Huongthom,Basic+LBP+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9065693430656935,0.9100667731686063,0.9065693430656935,0.9063200369664213,0.8953237410071943
Support Vector Machine,Huongthom,Basic+LBP+GLCM,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9576642335766423,0.9576668723319166,0.9576642335766423,0.9576635116791885,0.9647482014388491
Random Forest,Huongthom,Basic+LBP+GLCM,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9145985401459854,0.9158577178101333,0.9145985401459854,0.9145598075913169,0.9183453237410071
K-Nearest Neighbors,Huongthom,Basic+LBP+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8912408759124087,0.8942743759549929,0.8912408759124087,0.8909749753939384,0.8741007194244604
Support Vector Machine,Huongthom,Basic+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9386861313868613,0.9386880419950435,0.9386861313868613,0.9386850858802039,0.9413669064748202
Random Forest,Huongthom,Basic+LBP+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9138686131386862,0.9142472584164697,0.9138686131386862,0.9138631062045537,0.9061151079136691
K-Nearest Neighbors,Huongthom,Basic+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9175182481751825,0.9201639024375554,0.9175182481751825,0.9173510499873476,0.9140287769784173
Support Vector Machine,Huongthom,Basic+GLCM+Edge,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9591240875912409,0.9591556652255364,0.9591240875912409,0.9591214736240204,0.9672661870503596
Random Forest,Huongthom,Basic+GLCM+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9262773722627737,0.9277051653699733,0.9262773722627737,0.9262390625469572,0.9312949640287769
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9503649635036496,0.9505428861701019,0.9503649635036496,0.9503545926447546,0.9546762589928057
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9766423357664233,0.976657198702518,0.9766423357664233,0.9766414395853869,0.9809352517985612
Random Forest,Huongthom,Enhanced Color+Zernike moments+LBP,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9554744525547445,0.9557663377813563,0.9554744525547445,0.9554732426800528,0.9654676258992806
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9474452554744526,0.9481728117786512,0.9474452554744526,0.9474122955293808,0.95
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments+GLCM,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.5994842503189409}",0.9751824817518249,0.9752167297596886,0.9751824817518249,0.9751808947002983,0.9827338129496402
Random Forest,Huongthom,Enhanced Color+Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9554744525547445,0.9557028537524285,0.9554744525547445,0.9554740967107638,0.9658273381294963
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.945985401459854,0.9464284966256397,0.945985401459854,0.9459625930407829,0.953956834532374
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments+Edge,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.5994842503189409}",0.9678832116788321,0.9680211565248061,0.9678832116788321,0.9678778709316952,0.983093525179856
