Rice Seed,Model,Feature,Precision,Recall,F1-score,Accuracy,Best Param
Q5,SVM,Basic LBP GLCM,0.9193245778611632,0.9645669291338582,0.9414024975984631,0.9386317907444668,"{'C': 0.9, 'kernel': 'rbf'}"
Q5,RF,Basic LBP GLCM,0.9282945736434108,0.9429133858267716,0.935546875,0.9336016096579477,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 150}"
Q5,KNN,Basic LBP GIST,0.731437598736177,0.9114173228346457,0.8115687992988606,0.783702213279678,{'n_neighbors': 20}
Q5,SVM,Basic LBP GIST,0.8976833976833977,0.9153543307086615,0.9064327485380117,0.903420523138833,"{'C': 0.2, 'kernel': 'linear'}"
Q5,RF,Basic LBP GIST,0.9042145593869731,0.9291338582677166,0.916504854368932,0.9134808853118712,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 180}"
Q5,KNN,Basic GLCM GIST,0.7342767295597484,0.9192913385826772,0.8164335664335665,0.7887323943661971,{'n_neighbors': 20}
Q5,SVM,Basic GLCM GIST,0.8918918918918919,0.9094488188976378,0.9005847953216374,0.89738430583501,"{'C': 0.2, 'kernel': 'linear'}"
Q5,RF,Basic GLCM GIST,0.9028571428571428,0.9330708661417323,0.9177153920619555,0.9144869215291751,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 150}"
Q5,KNN,LBP GIST GLCM,0.6559139784946236,0.7204724409448819,0.6866791744840526,0.6639839034205232,{'n_neighbors': 20}
Q5,SVM,LBP GIST GLCM,0.7675276752767528,0.8188976377952756,0.7923809523809524,0.7806841046277666,"{'C': 0.2, 'kernel': 'linear'}"
Q5,RF,LBP GIST GLCM,0.776173285198556,0.8464566929133859,0.8097928436911488,0.7967806841046278,"{'criterion': 'gini', 'max_depth': 30, 'n_estimators': 200}"
Q5,KNN,All,0.7551020408163265,0.8740157480314961,0.8102189781021898,0.7907444668008048,{'n_neighbors': 10}
Q5,SVM,All,0.8938223938223938,0.9114173228346457,0.9025341130604289,0.8993963782696177,"{'C': 0.2, 'kernel': 'linear'}"
Q5,RF,All,0.9057692307692308,0.9271653543307087,0.9163424124513618,0.9134808853118712,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 200}"
ThienUu,KNN,Basic,0.9219653179190751,0.9666666666666667,0.9437869822485208,0.9425981873111783,{'n_neighbors': 10}
ThienUu,SVM,Basic,0.9728915662650602,0.9787878787878788,0.9758308157099698,0.9758308157099698,"{'C': 0.9, 'kernel': 'linear'}"
ThienUu,RF,Basic,0.9352941176470588,0.9636363636363636,0.9492537313432836,0.9486404833836858,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}"
