Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM,0.9258649093904449,0.9279216301893433,0.9258649093904449,0.9257803099538044,0.9196127904483914
Random Forest,BC-15,Basic+Enhanced Color+GLCM,0.9110378912685337,0.9120514790179943,0.9110378912685337,0.9109871597257261,0.8944392222826894
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GIST,0.7841845140032949,0.7843914648901484,0.7841845140032949,0.7841517081748046,0.7815770378799123
Support Vector Machine,BC-15,Basic+Enhanced Color+GIST,0.8616144975288303,0.861617672230234,0.8616144975288303,0.8616137463420724,0.8404360230214879
Random Forest,BC-15,Basic+Enhanced Color+GIST,0.8937397034596376,0.8938722173727488,0.8937397034596376,0.8937325651938552,0.8842898134863703
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Color,0.8739703459637562,0.8778054434046901,0.8739703459637562,0.8736618537529874,0.8911805933475156
Support Vector Machine,BC-15,Basic+Zernike moments+Color,0.8920922570016474,0.8981908153692373,0.8920922570016474,0.8916899361507765,0.8993032536816241
Random Forest,BC-15,Basic+Zernike moments+Color,0.9093904448105437,0.9119777778257593,0.9093904448105437,0.9092545009247409,0.9033641715727503
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP,0.872322899505766,0.8781191766179948,0.872322899505766,0.8718468710180944,0.868040370058873
Support Vector Machine,BC-15,Basic+Zernike moments+LBP,0.92833607907743,0.9293215111860368,0.92833607907743,0.9282979865466201,0.9252906545292634
Random Forest,BC-15,Basic+Zernike moments+LBP,0.8896210873146623,0.891884900958805,0.8896210873146623,0.8894693018736047,0.881039430069757
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM,0.8838550247116969,0.889200272457715,0.8838550247116969,0.8834676995397729,0.8733257474562576
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM,0.9275123558484349,0.9295768115173346,0.9275123558484349,0.9274296363992756,0.9321921535645377
Random Forest,BC-15,Basic+Zernike moments+GLCM,0.886326194398682,0.8887714540496306,0.886326194398682,0.8861556466146747,0.8769727403156387
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GIST,0.8113673805601318,0.815241024263353,0.8113673805601318,0.8108083772471509,0.7953833341578852
Support Vector Machine,BC-15,Basic+Zernike moments+GIST,0.8805601317957167,0.8821500014577683,0.8805601317957167,0.8804430789776015,0.8623550850112963
Random Forest,BC-15,Basic+Zernike moments+GIST,0.8632619439868204,0.8687679503247164,0.8632619439868204,0.8627658698961566,0.8684509968831939
K-Nearest Neighbors,BC-15,Basic+Color+LBP,0.85667215815486,0.8597550160052392,0.85667215815486,0.8563774887095349,0.8737215323471693
Support Vector Machine,BC-15,Basic+Color+LBP,0.8706754530477759,0.8755506244233003,0.8706754530477759,0.8702685487176665,0.8781914279589044
Random Forest,BC-15,Basic+Color+LBP,0.8871499176276771,0.8883075152680522,0.8871499176276771,0.8870715343503467,0.8883358894440871
K-Nearest Neighbors,BC-15,Basic+Color+GLCM,0.8550247116968699,0.8574692286554583,0.8550247116968699,0.8547882573417478,0.8684468741239136
Support Vector Machine,BC-15,Basic+Color+GLCM,0.8797364085667215,0.883759031170962,0.8797364085667215,0.879432108622951,0.8854986065073632
Random Forest,BC-15,Basic+Color+GLCM,0.8978583196046128,0.8985967377277995,0.8978583196046128,0.8978150562708496,0.8928049605039661
K-Nearest Neighbors,BC-15,Basic+Color+GIST,0.8187808896210873,0.8187833667824643,0.8187808896210873,0.8187799059241427,0.8234016062270155
Support Vector Machine,BC-15,Basic+Color+GIST,0.8401976935749588,0.8421823049151007,0.8401976935749588,0.8399779445035769,0.8436822836788205
Random Forest,BC-15,Basic+Color+GIST,0.8953871499176277,0.8964297593368434,0.8953871499176277,0.8953233007489675,0.8960594666798596
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM,0.8294892915980231,0.8389141800623235,0.8294892915980231,0.8283247134585409,0.822559738781972
Support Vector Machine,BC-15,Basic+LBP+GLCM,0.8986820428336079,0.902243627230344,0.8986820428336079,0.8984660800523752,0.881037780966045
Random Forest,BC-15,Basic+LBP+GLCM,0.8624382207578254,0.8656831170540399,0.8624382207578254,0.8621450029979402,0.8554519368723099
K-Nearest Neighbors,BC-15,Basic+LBP+GIST,0.7339373970345964,0.734232884066906,0.7339373970345964,0.733865348400905,0.722697438941935
Support Vector Machine,BC-15,Basic+LBP+GIST,0.8121911037891268,0.8123192754885366,0.8121911037891268,0.8121758109013498,0.7848043338445554
Random Forest,BC-15,Basic+LBP+GIST,0.8706754530477759,0.8761391508475064,0.8706754530477759,0.870219087536269,0.8501789277527664
K-Nearest Neighbors,BC-15,Basic+GLCM+GIST,0.7578253706754531,0.7578253706754531,0.7578253706754531,0.7578253706754531,0.7324353963620772
Support Vector Machine,BC-15,Basic+GLCM+GIST,0.8303130148270181,0.8303130148270181,0.8303130148270181,0.8303130148270181,0.808366727683504
Random Forest,BC-15,Basic+GLCM+GIST,0.8657331136738056,0.8692419916474056,0.8657331136738056,0.8654260581776433,0.8664234238691272
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+Color,0.8591433278418451,0.8623594343107394,0.8591433278418451,0.8588430869020823,0.8887506390276885
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+Color,0.8764415156507414,0.8845495744066215,0.8764415156507414,0.8758038379300953,0.8968683520506605
Random Forest,BC-15,Enhanced Color+Zernike moments+Color,0.9060955518945635,0.9072353082607016,0.9060955518945635,0.9060343471182715,0.9045770873530238
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP,0.8912685337726524,0.8985630713127697,0.8912685337726524,0.8907824492948078,0.9005301868434508
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP,0.9299835255354201,0.931593857075713,0.9299835255354201,0.9299219520463103,0.9313849172974489
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP,0.8970345963756178,0.8982206031355624,0.8970345963756178,0.8969630787868126,0.9106680519137849
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM,0.8789126853377265,0.8838940866147268,0.8789126853377265,0.8785316984808724,0.8891604413001535
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM,0.9176276771004942,0.9200497053835707,0.9176276771004942,0.917514404383287,0.937063605930177
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM,0.8896210873146623,0.8911651846470269,0.8896210873146623,0.8895185417441676,0.9001179109154176
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GIST,0.8261943986820428,0.828017976316098,0.8261943986820428,0.8259659163803361,0.8258233150282821
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GIST,0.8887973640856672,0.8909591394685038,0.8887973640856672,0.8886511787267555,0.8883433104107917
Random Forest,BC-15,Enhanced Color+Zernike moments+GIST,0.8698517298187809,0.8721955084952531,0.8698517298187809,0.8696564649646276,0.8851044707201636
K-Nearest Neighbors,BC-15,Enhanced Color+Color+LBP,0.8253706754530478,0.8255504774051833,0.8253706754530478,0.8253507672749136,0.8424660696911228
Support Vector Machine,BC-15,Enhanced Color+Color+LBP,0.8360790774299836,0.8376374016641648,0.8360790774299836,0.8359010471332051,0.8404376721251999
Random Forest,BC-15,Enhanced Color+Color+LBP,0.8319604612850082,0.8319956349268951,0.8319604612850082,0.8319577248189622,0.831910981381619
K-Nearest Neighbors,BC-15,Enhanced Color+Color+GLCM,0.8237232289950577,0.8240655143697722,0.8237232289950577,0.8236705844912173,0.8355604478965682
Support Vector Machine,BC-15,Enhanced Color+Color+GLCM,0.8616144975288303,0.8627652256054509,0.8616144975288303,0.8615122662081041,0.8716980820923828
Random Forest,BC-15,Enhanced Color+Color+GLCM,0.8303130148270181,0.8305353234429268,0.8303130148270181,0.8302798483659453,0.8388083576576131
K-Nearest Neighbors,BC-15,Enhanced Color+Color+GIST,0.7635914332784185,0.768810482496304,0.7635914332784185,0.7623990931080995,0.7681788947706921
Support Vector Machine,BC-15,Enhanced Color+Color+GIST,0.8179571663920923,0.8181588511168395,0.8179571663920923,0.8179330772891146,0.8229802602285657
