Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.9505766062602965,0.9508920077156673,0.9505766062602965,0.9505690934751463,0.943973350484012
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.9118616144975288,0.9134062012788182,0.9118616144975288,0.9117841043406496,0.9220427447682183
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+Zernike moments,0.9401459854014599,0.9408582569093519,0.9401459854014599,0.9401084476862392,0.9474820143884891
Support Vector Machine,Huongthom,Basic+Enhanced Color+Zernike moments,0.9744525547445255,0.9744759348287426,0.9744525547445255,0.9744512614022081,0.9841726618705036
Random Forest,Huongthom,Basic+Enhanced Color+Zernike moments,0.9591240875912409,0.959452173835108,0.9591240875912409,0.9591225195317905,0.9629496402877697
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+LBP,0.9284671532846716,0.9291549691184727,0.9284671532846716,0.9284222911372128,0.9287769784172661
Support Vector Machine,Huongthom,Basic+Enhanced Color+LBP,0.9751824817518249,0.9753759688367829,0.9751824817518249,0.9751772963223774,0.973021582733813
Random Forest,Huongthom,Basic+Enhanced Color+LBP,0.9569343065693431,0.9570906611146597,0.9569343065693431,0.9569262497033143,0.953956834532374
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+GLCM,0.9343065693430657,0.9364056026829749,0.9343065693430657,0.9342021925120285,0.9341726618705037
Support Vector Machine,Huongthom,Basic+Enhanced Color+GLCM,0.9759124087591241,0.9759596114183591,0.9759124087591241,0.9759105217603075,0.9791366906474821
