Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Random Forest,BC-15,Basic+Zernike moments+Edge,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8846787479406919,0.8869146413544347,0.8846787479406919,0.8845201661366019,0.8846905456884183
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8270181219110379,0.8438248187085591,0.8270181219110379,0.8249172139976494,0.8197175085341117
Support Vector Machine,BC-15,Basic+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9118616144975288,0.9130902349368277,0.9118616144975288,0.9118003954415116,0.8993065518890484
Random Forest,BC-15,Basic+LBP+GLCM,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.8640856672158155,0.8678216060343675,0.8640856672158155,0.8637529795375356,0.8615461996404953
K-Nearest Neighbors,BC-15,Basic+LBP+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8253706754530478,0.8442638947500599,0.8253706754530478,0.8229833556062092,0.820542884942034
Support Vector Machine,BC-15,Basic+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8986820428336079,0.9027650368304969,0.8986820428336079,0.8984340392916174,0.8903799534952753
Random Forest,BC-15,Basic+LBP+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8780889621087314,0.8811222478804065,0.8780889621087314,0.8778562600109712,0.8639811012714589
K-Nearest Neighbors,BC-15,Basic+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.8451400329489291,0.8623172819575856,0.8451400329489291,0.8433160200924203,0.8314929335905935
Support Vector Machine,BC-15,Basic+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9242174629324547,0.9248865432747538,0.9242174629324547,0.9241903042725295,0.9025635317205098
Random Forest,BC-15,Basic+GLCM+Edge,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.8649093904448105,0.8682921682235908,0.8649093904448105,0.8646110384804984,0.8700687676247959
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8846787479406919,0.8937482112960136,0.8846787479406919,0.8840272758980234,0.8932221837431357
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9382207578253706,0.9389694739711472,0.9382207578253706,0.9381966460627028,0.9443765563416283
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.9003294892915981,0.9012530679441888,0.9003294892915981,0.9002765100246096,0.9102681442635927
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.8698517298187809,0.8815170062212693,0.8698517298187809,0.8688710229530153,0.8899701512228104
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9299835255354201,0.9306060620916713,0.9299835255354201,0.9299605725083718,0.9455960685367503
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8789126853377265,0.8804959024592113,0.8789126853377265,0.8787940179979822,0.9058031959629942
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8747940691927513,0.8866132475079045,0.8747940691927513,0.8738506043598628,0.8964676198486122
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9250411861614497,0.9255547517415431,0.9250411861614497,0.9250208876299764,0.9358531638054718
Random Forest,BC-15,Enhanced Color+Zernike moments+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8822075782537068,0.8841486636166919,0.8822075782537068,0.8820665104434209,0.9094559606853675
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8039538714991763,0.8111469086712491,0.8039538714991763,0.8028463690266398,0.8043066343442338
Support Vector Machine,BC-15,Enhanced Color+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8797364085667215,0.8806759166172892,0.8797364085667215,0.8796678270366296,0.8704892890713897
Random Forest,BC-15,Enhanced Color+LBP+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8344316309719935,0.8354377133079979,0.8344316309719935,0.8343166306891948,0.8197381223305135
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.7726523887973641,0.7834293616233208,0.7726523887973641,0.7705214233357992,0.7807541351275582
Support Vector Machine,BC-15,Enhanced Color+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8451400329489291,0.8463732759872807,0.8451400329489291,0.8450113194821821,0.8461303781394811
Random Forest,BC-15,Enhanced Color+LBP+Edge,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.8088962108731467,0.8102639944409369,0.8088962108731467,0.8086989226163487,0.7933483401771138
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.7973640856672158,0.8032143523042107,0.7973640856672158,0.7964126966570485,0.7913174689556227
Support Vector Machine,BC-15,Enhanced Color+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8797364085667215,0.8809424850323463,0.8797364085667215,0.8796475646808524,0.8721227262982569
Random Forest,BC-15,Enhanced Color+GLCM+Edge,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': True}",0.7990115321252059,0.7990981602739357,0.7990115321252059,0.7990006216764745,0.8099919193918105
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.842668863261944,0.858401455235571,0.842668863261944,0.8409560107942179,0.8375847227032107
Support Vector Machine,BC-15,Zernike moments+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9077429983525536,0.9086193545658533,0.9077429983525536,0.9076974059383582,0.9074250894638765
Random Forest,BC-15,Zernike moments+LBP+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8772652388797364,0.8791819821918894,0.8772652388797364,0.8771182521403478,0.8643867807846435
K-Nearest Neighbors,BC-15,Zernike moments+LBP+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8434925864909391,0.860050966844578,0.8434925864909391,0.8417056632593541,0.8400245716453109
Support Vector Machine,BC-15,Zernike moments+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8986820428336079,0.90002138671158,0.8986820428336079,0.8986025821937607,0.9025544616500932
