Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Random Forest,Q5,Enhanced Color+Zernike moments+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9647887323943662,0.9648343576196408,0.9647887323943662,0.9647871285692504,0.9508955113873669
K-Nearest Neighbors,Q5,Enhanced Color+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9446680080482898,0.9486624416830653,0.9446680080482898,0.9445334169441496,0.9439562194432842
Support Vector Machine,Q5,Enhanced Color+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9708249496981891,0.9712507780143899,0.9708249496981891,0.9708165310490019,0.9697442448959535
Random Forest,Q5,Enhanced Color+Zernike moments+GLCM,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9647887323943662,0.9648048137234642,0.9647887323943662,0.9647879839668871,0.9523818883129008
K-Nearest Neighbors,Q5,Enhanced Color+Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9456740442655935,0.949507428502689,0.9456740442655935,0.9455472607709376,0.9469252880623051
Support Vector Machine,Q5,Enhanced Color+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9738430583501007,0.9741169727460312,0.9738430583501007,0.9738379740876163,0.9717256713264378
Random Forest,Q5,Enhanced Color+Zernike moments+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9617706237424547,0.9617706237424547,0.9617706237424547,0.9617706237424547,0.9503992334717342
K-Nearest Neighbors,Q5,Enhanced Color+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8933601609657947,0.9060319836047456,0.8933601609657947,0.8924788003952385,0.8779881089845958
Support Vector Machine,Q5,Enhanced Color+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.93158953722334,0.9315954188325265,0.93158953722334,0.9315887063270311,0.9146795076529985
Random Forest,Q5,Enhanced Color+LBP+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9255533199195171,0.9263758240196884,0.9255533199195171,0.9255101912724117,0.8973257499447215
K-Nearest Neighbors,Q5,Enhanced Color+LBP+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8903420523138833,0.9004016027894811,0.8903420523138833,0.8896092088531401,0.8779831953418666
Support Vector Machine,Q5,Enhanced Color+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9285714285714286,0.9289535853251807,0.9285714285714286,0.9285508173958321,0.918652187799425
Random Forest,Q5,Enhanced Color+LBP+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9185110663983903,0.9192459773245117,0.9185110663983903,0.9184677392629413,0.8948468171879224
K-Nearest Neighbors,Q5,Enhanced Color+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9024144869215291,0.910750775756825,0.9024144869215291,0.9018855404244492,0.8879026116011104
Support Vector Machine,Q5,Enhanced Color+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9416498993963782,0.9419019006406344,0.9416498993963782,0.9416385575800671,0.9241075596393387
Random Forest,Q5,Enhanced Color+GLCM+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9225352112676056,0.9229111292267221,0.9225352112676056,0.9225128583025223,0.9012886028056899
K-Nearest Neighbors,Q5,Zernike moments+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.886317907444668,0.8929871078690517,0.886317907444668,0.8857993707330556,0.9042674987101688
Support Vector Machine,Q5,Zernike moments+LBP+GLCM,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9225352112676056,0.9234279548973822,0.9225352112676056,0.9224864871789454,0.9251025722919687
Random Forest,Q5,Zernike moments+LBP+GLCM,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.903420523138833,0.9045077000739333,0.903420523138833,0.9033442094475568,0.9127091369186546
K-Nearest Neighbors,Q5,Zernike moments+LBP+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8953722334004024,0.8990567331945243,0.8953722334004024,0.8951071949103984,0.8948455887772401
Support Vector Machine,Q5,Zernike moments+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9185110663983903,0.9205749478142261,0.9185110663983903,0.9183983135316157,0.9132005011915585
Random Forest,Q5,Zernike moments+LBP+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.89738430583501,0.8981464558452802,0.89738430583501,0.8973248582403512,0.9052600545414343
K-Nearest Neighbors,Q5,Zernike moments+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8661971830985915,0.8710201238970235,0.8661971830985915,0.8657245372541554,0.8794671154460358
Support Vector Machine,Q5,Zernike moments+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.903420523138833,0.9057643621796628,0.903420523138833,0.9032642367948321,0.9171694961059382
Random Forest,Q5,Zernike moments+GLCM+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8943661971830986,0.8951932012230537,0.8943661971830986,0.8942997552440164,0.9067501166990148
K-Nearest Neighbors,Q5,LBP+GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.6851106639839034,0.7019723933664097,0.6851106639839034,0.6780668271953962,0.6899687983686705
Support Vector Machine,Q5,LBP+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.7826961770623743,0.7831196080243759,0.7826961770623743,0.7825905466216374,0.789681350269022
Random Forest,Q5,LBP+GLCM+Edge,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.7263581488933601,0.7270169661047196,0.7263581488933601,0.7261097394529566,0.7410682259292928
K-Nearest Neighbors,Q5,Basic+Enhanced Color+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9496981891348089,0.9526156510922248,0.9496981891348089,0.9496084100179619,0.9474215659779377
Support Vector Machine,Q5,Basic+Enhanced Color+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.9738430583501007,0.9740328834245422,0.9738430583501007,0.9738393513005471,0.967761590054787
Random Forest,Q5,Basic+Enhanced Color+Zernike moments+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9647887323943662,0.9649386549685983,0.9647887323943662,0.964784562077603,0.9508967397980493
K-Nearest Neighbors,Q5,Basic+Enhanced Color+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9476861167002012,0.9508905657568577,0.9476861167002012,0.9475836028831215,0.9499054123774661
Support Vector Machine,Q5,Basic+Enhanced Color+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.971830985915493,0.9720198329302979,0.971830985915493,0.9718269937082814,0.9702392944009042
