Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Xi23,Basic+Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9349415204678364,0.9351445035207012,0.9349415204678364,0.9348609674659806,0.926892215956964
Support Vector Machine,Xi23,Basic+Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9641812865497076,0.9643448452683474,0.9641812865497076,0.9642005306614928,0.964710609890466
Random Forest,Xi23,Basic+Enhanced Color+Edge,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9378654970760234,0.9383330695170252,0.9378654970760234,0.9379180496487082,0.9416618056905826
K-Nearest Neighbors,Xi23,Basic+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9203216374269004,0.920832295428596,0.9203216374269004,0.920158393000724,0.9146555188281807
Support Vector Machine,Xi23,Basic+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9605263157894736,0.9607802293356626,0.9605263157894736,0.9605524101720648,0.9650716183809708
Random Forest,Xi23,Basic+Zernike moments+LBP,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9312865497076024,0.9314059415341212,0.9312865497076024,0.9313142920288348,0.92437228595502
K-Nearest Neighbors,Xi23,Basic+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9269005847953216,0.9290011552357264,0.9269005847953216,0.9265837706033828,0.9117687471644306
Support Vector Machine,Xi23,Basic+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.966374269005848,0.9664050254316962,0.966374269005848,0.9663813487915146,0.9643508976602504
Random Forest,Xi23,Basic+Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9371345029239766,0.9371345029239766,0.9371345029239766,0.9371345029239766,0.9258137273964612
K-Nearest Neighbors,Xi23,Basic+Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9305555555555556,0.9314317928448363,0.9305555555555556,0.9303758210064296,0.9189746581113488
Support Vector Machine,Xi23,Basic+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9649122807017544,0.9649436273897564,0.9649122807017544,0.9649196683041892,0.9675954371637824
Random Forest,Xi23,Basic+Zernike moments+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9364035087719298,0.936411416319187,0.9364035087719298,0.9364069598606032,0.9276148810681184
K-Nearest Neighbors,Xi23,Basic+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8947368421052632,0.8964606599243321,0.8947368421052632,0.8942806296688712,0.8995307537753581
Support Vector Machine,Xi23,Basic+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9510233918128655,0.9510160054608064,0.9510233918128655,0.951015099166192,0.9459828893641844
Random Forest,Xi23,Basic+LBP+GLCM,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9239766081871345,0.9241507264702756,0.9239766081871345,0.9240141514089256,0.9229340851643012
K-Nearest Neighbors,Xi23,Basic+LBP+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9115497076023392,0.9119356636243816,0.9115497076023392,0.9113836114237452,0.9114135718452264
Support Vector Machine,Xi23,Basic+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.952485380116959,0.9525693741565452,0.952485380116959,0.9525023459885162,0.952828439950742
Random Forest,Xi23,Basic+LBP+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.922514619883041,0.922881916125394,0.922514619883041,0.922571818531903,0.9254533670361008
K-Nearest Neighbors,Xi23,Basic+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9093567251461988,0.9110878358343556,0.9093567251461988,0.9089840143120962,0.90312982046795
Support Vector Machine,Xi23,Basic+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9517543859649122,0.9517576144999969,0.9517543859649122,0.9517375756464332,0.9503104543392314
Random Forest,Xi23,Basic+GLCM+Edge,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.925438596491228,0.9256678195537092,0.925438596491228,0.9254818129773515,0.9340968306435932
K-Nearest Neighbors,Xi23,Enhanced Color+Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9276315789473684,0.9298318355182548,0.9276315789473684,0.9273097715960884,0.917171560049258
Support Vector Machine,Xi23,Enhanced Color+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9656432748538012,0.965718570765857,0.9656432748538012,0.965655542484004,0.9686713332037072
Random Forest,Xi23,Enhanced Color+Zernike moments+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9371345029239766,0.9371520359158092,0.9371345029239766,0.9371412574836122,0.9344597835245316
K-Nearest Neighbors,Xi23,Enhanced Color+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9057017543859648,0.9110267486341994,0.9057017543859648,0.9049136255216428,0.8962881586622593
Support Vector Machine,Xi23,Enhanced Color+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9597953216374268,0.9597909917069096,0.9597953216374268,0.9597885142409038,0.9614719035582344
Random Forest,Xi23,Enhanced Color+Zernike moments+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9181286549707602,0.9188697944356802,0.9181286549707602,0.917924344226136,0.9160976083997668
K-Nearest Neighbors,Xi23,Enhanced Color+Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.904970760233918,0.9090814459944336,0.904970760233918,0.904298282218395,0.9096098256529912
Support Vector Machine,Xi23,Enhanced Color+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.962719298245614,0.9627237340424568,0.962719298245614,0.9627085748888814,0.960027869596215
Random Forest,Xi23,Enhanced Color+Zernike moments+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9203216374269004,0.9209244097401194,0.9203216374269004,0.9201444201391604,0.9171754488301253
K-Nearest Neighbors,Xi23,Enhanced Color+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8538011695906432,0.8564747260846532,0.8538011695906432,0.8528454764152704,0.8537928576058074
