Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM,0.8698517298187809,0.8824426584509834,0.8698517298187809,0.8687942593238099,0.882256468609311
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM,0.9176276771004942,0.9200497053835707,0.9176276771004942,0.917514404383287,0.937063605930177
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM,0.8822075782537068,0.8839721201451555,0.8822075782537068,0.8820796469349163,0.9025552862019494
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GIST,0.8212520593080724,0.8280297565097103,0.8212520593080724,0.8203507452759412,0.8282639885222383
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GIST,0.8887973640856672,0.8909591394685038,0.8887973640856672,0.8886511787267555,0.8883433104107917
Random Forest,BC-15,Enhanced Color+Zernike moments+GIST,0.872322899505766,0.8745843995855609,0.872322899505766,0.8721394218672303,0.8810369564141889
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GLCM,0.8097199341021417,0.8156621661057333,0.8097199341021417,0.8088480540808558,0.8034944507660086
Support Vector Machine,BC-15,Enhanced Color+LBP+GLCM,0.8649093904448105,0.8672227248289398,0.8649093904448105,0.8647067104696136,0.8526179521430104
Random Forest,BC-15,Enhanced Color+LBP+GLCM,0.8319604612850082,0.8326810152628487,0.8319604612850082,0.8318774179591525,0.818925114200432
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GIST,0.7314662273476112,0.7317032216941635,0.7314662273476112,0.7313860305800785,0.7364913669420671
Support Vector Machine,BC-15,Enhanced Color+LBP+GIST,0.8163097199341022,0.8164955309972788,0.8163097199341022,0.8162779311326801,0.8148592489981695
Random Forest,BC-15,Enhanced Color+LBP+GIST,0.8245469522240527,0.8264824639044457,0.8245469522240527,0.8242723363873616,0.8238015138772077
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM+GIST,0.7479406919275123,0.7487913430162327,0.7479406919275123,0.7477064971606066,0.7446132027243193
Support Vector Machine,BC-15,Enhanced Color+GLCM+GIST,0.828665568369028,0.828833997828698,0.828665568369028,0.8286395229866934,0.8351580665908079
Random Forest,BC-15,Enhanced Color+GLCM+GIST,0.8327841845140033,0.8351274664654479,0.8327841845140033,0.8324769184747667,0.814865845413018
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GLCM,0.8443163097199341,0.8586080400090563,0.8443163097199341,0.8427805220357921,0.8355530269298634
Support Vector Machine,BC-15,Zernike moments+LBP+GLCM,0.9003294892915981,0.9018322384989759,0.9003294892915981,0.9002418376188657,0.9013349494549712
Random Forest,BC-15,Zernike moments+LBP+GLCM,0.8632619439868204,0.8659662656599006,0.8632619439868204,0.8630203073986461,0.8591079998021076
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GIST,0.7775947281713345,0.7881827336940627,0.7775947281713345,0.7755813880052185,0.7779160276389783
Support Vector Machine,BC-15,Zernike moments+LBP+GIST,0.8517298187808896,0.8547710198017453,0.8517298187808896,0.8514249883202085,0.8351588911426641
Random Forest,BC-15,Zernike moments+LBP+GIST,0.8517298187808896,0.8586284256415498,0.8517298187808896,0.8510336804807673,0.8457139794521676
K-Nearest Neighbors,BC-15,Zernike moments+GLCM+GIST,0.785831960461285,0.7904271420772457,0.785831960461285,0.7850116480945218,0.7746730651890698
Support Vector Machine,BC-15,Zernike moments+GLCM+GIST,0.8542009884678748,0.8573739101957888,0.8542009884678748,0.8538902127582957,0.8375946173254836
Random Forest,BC-15,Zernike moments+GLCM+GIST,0.8443163097199341,0.8509094863152866,0.8443163097199341,0.8436029533388821,0.8408392288791042
K-Nearest Neighbors,BC-15,LBP+GLCM+GIST,0.7051070840197694,0.7076597182508156,0.7051070840197694,0.7041514749909029,0.6816957733471859
Support Vector Machine,BC-15,LBP+GLCM+GIST,0.7990115321252059,0.799059117231168,0.7990115321252059,0.7990006214099499,0.7624886624119791
Random Forest,BC-15,LBP+GLCM+GIST,0.8130148270181219,0.8140766159554323,0.8130148270181219,0.8128681801462091,0.7953726149837562
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.8879736408566722,0.8979516045002042,0.8879736408566722,0.8872835702302322,0.8871254473193819
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.9382207578253706,0.9395251359168549,0.9382207578253706,0.9381778472720875,0.9382855917808671
