texture_mean,texture_std,texture_uniformity,texture_third_moment,mean_r,mean_g,mean_b,red_sqr,green_sqr,blue_sqr,area,length,width,ratio,major_axis_length,minor_axis_length,convex_hull_area,convex_hull_perimeter,Label
141.30844971108672,27.1856345314536,0.030853294,6721.368037041084,164.78205128205127,141.07099762982116,80.91461969403146,12.836746132959522,11.87733125031971,8.995255399044067,11888,234,73,3.2054794520547945,221.35934448242188,70.55525970458984,12067.5,503.6215693950653,0
147.07413781341165,23.68123147051729,0.0402635,4623.320228171945,170.06309448319595,146.16851616994293,91.4279222151765,13.040824148925402,12.090017211317068,9.561794926433869,12165,224,78,2.871794871794872,209.26492309570312,73.94963073730469,12237.5,485.90973472595215,0
148.27114770097978,24.323477994008858,0.03126864,3968.135483709122,169.1991341991342,147.5152685152685,97.24821574821574,13.007656752818095,12.145586380050512,9.861450996086516,10963,227,69,3.289855072463768,217.21568298339844,65.20562744140625,11102.5,488.76720774173737,0
147.02984160844426,26.076304084723965,0.02922697,7914.19153889114,173.34441489361703,145.5838829787234,85.46095744680851,13.166032617824438,12.065814642150086,9.244509583899434,12391,231,75,3.08,219.88156127929688,71.81761932373047,12520.0,499.1965796947479,0
143.456610393936,26.675371606777425,0.038495637,5910.976637969141,167.60431278132523,141.92091489584425,88.08939600125615,12.946208432638695,11.913056488401466,9.385595133035313,12281,229,78,2.9358974358974357,213.74769592285156,73.9801254272461,12460.5,495.07001531124115,0
149.96111041863333,24.060148755797456,0.040172625,5671.812546096173,173.35676883780332,148.8067049808429,94.5816730523627,13.166501769179364,12.198635373714673,9.725310948877814,10083,176,83,2.1204819277108435,164.13259887695312,77.91181945800781,10174.5,402.4121263027191,0
151.00683222396765,21.320535323436197,0.038889978,4084.2028020379857,172.36521739130436,150.2360248447205,98.77436476566912,13.1287934476594,12.257080600400753,9.938529305972244,11714,226,72,3.138888888888889,215.28282165527344,70.89460754394531,11917.5,496.0423892736435,0
153.03991695422155,21.87083655330321,0.03296427,1919.0917712312976,174.78548836032388,152.54073886639677,98.56262651821862,13.22064629132494,12.350738393569705,9.927871197704905,10143,204,72,2.8333333333333335,195.48277282714844,66.6368179321289,10303.5,448.57242822647095,0
147.81335364573897,22.498560348238442,0.035469107,4027.619625847756,167.78081155032893,147.09105198812367,99.1582930663096,12.953023259082373,12.128109992415293,9.957825719820045,11156,189,84,2.25,175.1319122314453,80.20028686523438,11248.0,428.5505884885788,0
141.95266832719062,24.77013415053317,0.033569384,7036.199687754686,164.47844444444445,140.89505555555556,88.2825,12.824914987805746,11.869922306213953,9.395876755258127,11759,238,71,3.352112676056338,228.61181640625,68.58934783935547,11939.5,508.6521632671356,0
